User_ID,generate-forecast,successful-logout,open-events,open-chat,open-dashboard,open-forecasting,open-constraints,open-booking,open-events-operations,open-detailedmovielist,open-scheduler,take-ownership,generate-schedule,save-event,open-events-calendar,open-booking-week,open-zopim,open-login,successful-login,open-analytics-events,open-analytics,open-filmdatabase,open-analytics-circuitdashboard,open-analytics-forecasting,open-booking-newreleases,open-analytics-cinemamanager,open-administration,open-analytics-tile2,open-home,open-administration-policies,open-administration-movieexternalinfo,open-booking-film,open-administration-eventsfinancialdetails,open-administration-cinemagroups,open-administration-theatresimilaritymanagement,open-administration-cities,
5a780d3b421ccbc308869cda,0,98,158,35,225,0,15,147,67,28,121,171,20,48,5,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,undefined
5a74dccb6308fa6b5810a980,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,undefined
5a747427b09f83c05445fc7f,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,undefined
5a7325b92db6250c351bd37d,0,7,232,25,248,0,20,76,120,213,387,178,14,97,0,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,undefined
5a820991441d72197738601d,7,0,6,3,45,37,11,27,2,30,44,30,4,0,1,0,1,0,0,1,24,38,2,11,23,12,15,0,0,1,2,1,1,1,1,1,undefined
5a733ca1345ea332999f6ac5,0,99,343,25,312,0,32,150,228,146,367,279,15,193,2,28,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,undefined
5a786eaafe7d081aef2ec1bc,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,undefined
5a731e241ee14d3680e76c3a,0,72,283,8,293,0,15,163,173,64,227,203,34,142,8,43,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,undefined
5a8a91cc2f6f05fb870cb9d1,0,0,300,0,0,0,0,0,240,0,0,0,0,203,12,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,undefined
,0,57,418,2,306,0,22,149,272,93,269,221,10,211,9,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,undefined
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
